# HELP free5gc_sbi_inbound_request_duration_seconds Histogram of request latencies
# TYPE free5gc_sbi_inbound_request_duration_seconds histogram
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created",le="0.0001"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created",le="0.005"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created",le="0.01"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created",le="0.02"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created",le="0.025"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created",le="0.05"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created",le="+Inf"} 117
free5gc_sbi_inbound_request_duration_seconds_sum{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created"} 12.599311773000002
free5gc_sbi_inbound_request_duration_seconds_count{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created"} 117
free5gc_sbi_inbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK",le="0.0001"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK",le="0.005"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK",le="0.01"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK",le="0.02"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK",le="0.025"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK",le="0.05"} 42
free5gc_sbi_inbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK",le="+Inf"} 117
free5gc_sbi_inbound_request_duration_seconds_sum{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK"} 6.671726579000003
free5gc_sbi_inbound_request_duration_seconds_count{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK"} 117
# HELP free5gc_sbi_inbound_request_total Total number of SBI inbound requests received by the NF
# TYPE free5gc_sbi_inbound_request_total counter
free5gc_sbi_inbound_request_total{cause="",method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created"} 117
free5gc_sbi_inbound_request_total{cause="",method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK"} 117
# HELP free5gc_sbi_outbound_request_duration_seconds Histogram of request latencies
# TYPE free5gc_sbi_outbound_request_duration_seconds histogram
free5gc_sbi_outbound_request_duration_seconds_bucket{method="GET",nf_type="ausf",status_code="200 OK",target_service_name="nnrf-disc",le="0.0001"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="GET",nf_type="ausf",status_code="200 OK",target_service_name="nnrf-disc",le="0.005"} 8
free5gc_sbi_outbound_request_duration_seconds_bucket{method="GET",nf_type="ausf",status_code="200 OK",target_service_name="nnrf-disc",le="0.01"} 77
free5gc_sbi_outbound_request_duration_seconds_bucket{method="GET",nf_type="ausf",status_code="200 OK",target_service_name="nnrf-disc",le="0.02"} 114
free5gc_sbi_outbound_request_duration_seconds_bucket{method="GET",nf_type="ausf",status_code="200 OK",target_service_name="nnrf-disc",le="0.025"} 115
free5gc_sbi_outbound_request_duration_seconds_bucket{method="GET",nf_type="ausf",status_code="200 OK",target_service_name="nnrf-disc",le="0.05"} 115
