# HELP free5gc_sbi_inbound_request_duration_seconds Histogram of request latencies
# TYPE free5gc_sbi_inbound_request_duration_seconds histogram
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created",le="0.0001"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created",le="0.005"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created",le="0.01"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created",le="0.02"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created",le="0.025"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created",le="0.05"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created",le="+Inf"} 173
free5gc_sbi_inbound_request_duration_seconds_sum{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created"} 42.84941399599999
free5gc_sbi_inbound_request_duration_seconds_count{method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created"} 173
free5gc_sbi_inbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK",le="0.0001"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK",le="0.005"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK",le="0.01"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK",le="0.02"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK",le="0.025"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK",le="0.05"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK",le="+Inf"} 149
free5gc_sbi_inbound_request_duration_seconds_sum{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK"} 16.75664126200001
free5gc_sbi_inbound_request_duration_seconds_count{method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK"} 149
# HELP free5gc_sbi_inbound_request_total Total number of SBI inbound requests received by the NF
# TYPE free5gc_sbi_inbound_request_total counter
free5gc_sbi_inbound_request_total{cause="",method="POST",nf_type="ausf",path="/nausf-auth/v1/ue-authentications",status_code="201 Created"} 173
free5gc_sbi_inbound_request_total{cause="",method="PUT",nf_type="ausf",path="/nausf-auth/v1/ue-authentications/:authCtxId/5g-aka-confirmation",status_code="200 OK"} 149
# HELP free5gc_sbi_outbound_request_duration_seconds Histogram of request latencies
# TYPE free5gc_sbi_outbound_request_duration_seconds histogram
free5gc_sbi_outbound_request_duration_seconds_bucket{method="GET",nf_type="ausf",status_code="200 OK",target_service_name="nnrf-disc",le="0.0001"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="GET",nf_type="ausf",status_code="200 OK",target_service_name="nnrf-disc",le="0.005"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="GET",nf_type="ausf",status_code="200 OK",target_service_name="nnrf-disc",le="0.01"} 20
free5gc_sbi_outbound_request_duration_seconds_bucket{method="GET",nf_type="ausf",status_code="200 OK",target_service_name="nnrf-disc",le="0.02"} 132
free5gc_sbi_outbound_request_duration_seconds_bucket{method="GET",nf_type="ausf",status_code="200 OK",target_service_name="nnrf-disc",le="0.025"} 150
free5gc_sbi_outbound_request_duration_seconds_bucket{method="GET",nf_type="ausf",status_code="200 OK",target_service_name="nnrf-disc",le="0.05"} 170
